orderid,productid,unitprice,qty,discount
10317,1,14.40,20,0.000
10318,41,7.70,20,0.000
10318,76,14.40,6,0.000
10319,17,31.20,8,0.000
10319,28,36.40,14,0.000
10319,76,14.40,30,0.000
10320,71,17.20,30,0.000
10321,35,14.40,10,0.000
10322,52,5.60,20,0.000
10323,15,12.40,5,0.000
10323,25,11.20,4,0.000
10323,39,14.40,4,0.000
10324,16,13.90,21,0.150
10324,35,14.40,70,0.150
10324,46,9.60,30,0.000
10324,59,44.00,40,0.150
10324,63,35.10,80,0.150
10325,6,20.00,6,0.000
10325,13,4.80,12,0.000
10325,14,18.60,9,0.000
10325,31,10.00,4,0.000
10325,72,27.80,40,0.000
10326,4,17.60,24,0.000
10326,57,15.60,16,0.000
10326,75,6.20,50,0.000
10327,2,15.20,25,0.200
10327,11,16.80,50,0.200
10327,30,20.70,35,0.200
10327,58,10.60,30,0.200
10328,59,44.00,9,0.000
10328,65,16.80,40,0.000
10328,68,10.00,10,0.000
10329,19,7.30,10,0.050
10329,30,20.70,8,0.050
10329,38,210.80,20,0.050
10329,56,30.40,12,0.050
10330,26,24.90,50,0.150
10330,72,27.80,25,0.150
10331,54,5.90,15,0.000
10332,18,50.00,40,0.200
10332,42,11.20,10,0.200
10332,47,7.60,16,0.200
10333,14,18.60,10,0.000
10333,21,8.00,10,0.100
10333,71,17.20,40,0.100
10334,52,5.60,8,0.000
10334,68,10.00,10,0.000
10335,2,15.20,7,0.200
10335,31,10.00,25,0.200
10335,32,25.60,6,0.200
10335,51,42.40,48,0.200
10336,4,17.60,18,0.100
10337,23,7.20,40,0.000
10337,26,24.90,24,0.000
10337,36,15.20,20,0.000
10337,37,20.80,28,0.000
10337,72,27.80,25,0.000
10338,17,31.20,20,0.000
10338,30,20.70,15,0.000
10339,4,17.60,10,0.000
10339,17,31.20,70,0.050
10339,62,39.40,28,0.000
10340,18,50.00,20,0.050
10340,41,7.70,12,0.050
10340,43,36.80,40,0.050
10341,33,2.00,8,0.000
10341,59,44.00,9,0.150
10342,2,15.20,24,0.200
10342,31,10.00,56,0.200
10342,36,15.20,40,0.200
10342,55,19.20,40,0.200
10343,64,26.60,50,0.000
10343,68,10.00,4,0.050
10343,76,14.40,15,0.000
10344,4,17.60,35,0.000
10344,8,32.00,70,0.250
10345,8,32.00,70,0.000
10345,19,7.30,80,0.000
10345,42,11.20,9,0.000
10346,17,31.20,36,0.100
10346,56,30.40,20,0.000
10347,25,11.20,10,0.000
10347,39,14.40,50,0.150
10347,40,14.70,4,0.000
10347,75,6.20,6,0.150
10348,1,14.40,15,0.150
10348,23,7.20,25,0.000
10349,54,5.90,24,0.000
10350,50,13.00,15,0.100
10350,69,28.80,18,0.100
10351,38,210.80,20,0.050
10351,41,7.70,13,0.000
10351,44,15.50,77,0.050
10351,65,16.80,10,0.050
10352,24,3.60,10,0.000
10352,54,5.90,20,0.150
10353,11,16.80,12,0.200
10353,38,210.80,50,0.200
10354,1,14.40,12,0.000
10354,29,99.00,4,0.000
10355,24,3.60,25,0.000
10355,57,15.60,25,0.000
10356,31,10.00,30,0.000
10356,55,19.20,12,0.000
10356,69,28.80,20,0.000
10357,10,24.80,30,0.200
10357,26,24.90,16,0.000
10357,60,27.20,8,0.200
10358,24,3.60,10,0.050
10358,34,11.20,10,0.050
10358,36,15.20,20,0.050
10359,16,13.90,56,0.050
10359,31,10.00,70,0.050
10359,60,27.20,80,0.050
10360,28,36.40,30,0.000
10360,29,99.00,35,0.000
10360,38,210.80,10,0.000
10360,49,16.00,35,0.000
10360,54,5.90,28,0.000
10361,39,14.40,54,0.100
10361,60,27.20,55,0.100
10362,25,11.20,50,0.000
10362,51,42.40,20,0.000
10362,54,5.90,24,0.000
10363,31,10.00,20,0.000
10363,75,6.20,12,0.000
10363,76,14.40,12,0.000
10364,69,28.80,30,0.000
10364,71,17.20,5,0.000
10365,11,16.80,24,0.000
10366,65,16.80,5,0.000
10366,77,10.40,5,0.000
10367,34,11.20,36,0.000
10367,54,5.90,18,0.000
10367,65,16.80,15,0.000
10367,77,10.40,7,0.000
10368,21,8.00,5,0.100
10368,28,36.40,13,0.100
10368,57,15.60,25,0.000
10368,64,26.60,35,0.100
10369,29,99.00,20,0.000
10369,56,30.40,18,0.250
10370,1,14.40,15,0.150
10370,64,26.60,30,0.000
10370,74,8.00,20,0.150
10371,36,15.20,6,0.200
10372,20,64.80,12,0.250
10372,38,210.80,40,0.250
10372,60,27.20,70,0.250
10372,72,27.80,42,0.250
10373,58,10.60,80,0.200
10373,71,17.20,50,0.200
10374,31,10.00,30,0.000
10374,58,10.60,15,0.000
10375,14,18.60,15,0.000
10375,54,5.90,10,0.000
10376,31,10.00,42,0.050
10377,28,36.40,20,0.150
10377,39,14.40,20,0.150
10378,71,17.20,6,0.000
10379,41,7.70,8,0.100
10379,63,35.10,16,0.100
10379,65,16.80,20,0.100
10380,30,20.70,18,0.100
10380,53,26.20,20,0.100
10380,60,27.20,6,0.100
10380,70,12.00,30,0.000
10381,74,8.00,14,0.000
10382,5,17.00,32,0.000
10382,18,50.00,9,0.000
10382,29,99.00,14,0.000
10382,33,2.00,60,0.000
10382,74,8.00,50,0.000
10383,13,4.80,20,0.000
10383,50,13.00,15,0.000
10383,56,30.40,20,0.000
10384,20,64.80,28,0.000
10384,60,27.20,15,0.000
10385,7,24.00,10,0.200
10385,60,27.20,20,0.200
10385,68,10.00,8,0.200
10386,24,3.60,15,0.000
10386,34,11.20,10,0.000
10387,24,3.60,15,0.000
10387,28,36.40,6,0.000
10387,59,44.00,12,0.000
10387,71,17.20,15,0.000
10388,45,7.60,15,0.200
10388,52,5.60,20,0.200
10388,53,26.20,40,0.000
10389,10,24.80,16,0.000
10389,55,19.20,15,0.000
10389,62,39.40,20,0.000
10389,70,12.00,30,0.000
10390,31,10.00,60,0.100
10390,35,14.40,40,0.100
10390,46,9.60,45,0.000
10390,72,27.80,24,0.100
10391,13,4.80,18,0.000
10392,69,28.80,50,0.000
10393,2,15.20,25,0.250
10393,14,18.60,42,0.250
10393,25,11.20,7,0.250
10393,26,24.90,70,0.250
10393,31,10.00,32,0.000
10394,13,4.80,10,0.000
10394,62,39.40,10,0.000
10395,46,9.60,28,0.100
10395,53,26.20,70,0.100
10395,69,28.80,8,0.000
10396,23,7.20,40,0.000
10396,71,17.20,60,0.000
10396,72,27.80,21,0.000
10397,21,8.00,10,0.150
10397,51,42.40,18,0.150
10398,35,14.40,30,0.000
10398,55,19.20,120,0.100
10399,68,10.00,60,0.000
10399,71,17.20,30,0.000
10399,76,14.40,35,0.000
10399,77,10.40,14,0.000
10400,29,99.00,21,0.000
10400,35,14.40,35,0.000
10400,49,16.00,30,0.000
10401,30,20.70,18,0.000
10401,56,30.40,70,0.000
10401,65,16.80,20,0.000
10401,71,17.20,60,0.000
10402,23,7.20,60,0.000
10402,63,35.10,65,0.000
10403,16,13.90,21,0.150
10403,48,10.20,70,0.150
10404,26,24.90,30,0.050
10404,42,11.20,40,0.050
10404,49,16.00,30,0.050
10405,3,8.00,50,0.000
10406,1,14.40,10,0.000
10406,21,8.00,30,0.100
10406,28,36.40,42,0.100
10406,36,15.20,5,0.100
10406,40,14.70,2,0.100
10407,11,16.80,30,0.000
10407,69,28.80,15,0.000
10407,71,17.20,15,0.000
10408,37,20.80,10,0.000
10408,54,5.90,6,0.000
10408,62,39.40,35,0.000
10409,14,18.60,12,0.000
10409,21,8.00,12,0.000
10410,33,2.00,49,0.000
10410,59,44.00,16,0.000
10411,41,7.70,25,0.200
10411,44,15.50,40,0.200
10411,59,44.00,9,0.200
10412,14,18.60,20,0.100
10413,1,14.40,24,0.000
10413,62,39.40,40,0.000
10413,76,14.40,14,0.000
10414,19,7.30,18,0.050
10414,33,2.00,50,0.000
10415,17,31.20,2,0.000
10415,33,2.00,20,0.000
10416,19,7.30,20,0.000
10416,53,26.20,10,0.000
10416,57,15.60,20,0.000
10417,38,210.80,50,0.000
10417,46,9.60,2,0.250
10417,68,10.00,36,0.250
10417,77,10.40,35,0.000
10418,2,15.20,60,0.000
10418,47,7.60,55,0.000
10418,61,22.80,16,0.000
10418,74,8.00,15,0.000
10419,60,27.20,60,0.050
10419,69,28.80,20,0.050
10420,9,77.60,20,0.100
10420,13,4.80,2,0.100
10420,70,12.00,8,0.100
10420,73,12.00,20,0.100
10421,19,7.30,4,0.150
10421,26,24.90,30,0.000
10421,53,26.20,15,0.150
10421,77,10.40,10,0.150
10422,26,24.90,2,0.000
10423,31,10.00,14,0.000
10423,59,44.00,20,0.000
10424,35,14.40,60,0.200
10424,38,210.80,49,0.200
10424,68,10.00,30,0.200
10425,55,19.20,10,0.250
10425,76,14.40,20,0.250
10426,56,30.40,5,0.000
10426,64,26.60,7,0.000
10427,14,18.60,35,0.000
10428,46,9.60,20,0.000
10429,50,13.00,40,0.000
10429,63,35.10,35,0.250
10430,17,31.20,45,0.200
10430,21,8.00,50,0.000
10430,56,30.40,30,0.000
10430,59,44.00,70,0.200
10431,17,31.20,50,0.250
10431,40,14.70,50,0.250
10431,47,7.60,30,0.250
10432,26,24.90,10,0.000
10432,54,5.90,40,0.000
10433,56,30.40,28,0.000
10434,11,16.80,6,0.000
10434,76,14.40,18,0.150
10435,2,15.20,10,0.000
10435,22,16.80,12,0.000
10435,72,27.80,10,0.000
10436,46,9.60,5,0.000
10436,56,30.40,40,0.100
10436,64,26.60,30,0.100
10436,75,6.20,24,0.100
10437,53,26.20,15,0.000
10438,19,7.30,15,0.200
10438,34,11.20,20,0.200
10438,57,15.60,15,0.200
10439,12,30.40,15,0.000
10439,16,13.90,16,0.000
10439,64,26.60,6,0.000
10439,74,8.00,30,0.000
10440,2,15.20,45,0.150
10440,16,13.90,49,0.150
10440,29,99.00,24,0.150
10440,61,22.80,90,0.150
10441,27,35.10,50,0.000
10442,11,16.80,30,0.000
10442,54,5.90,80,0.000
10442,66,13.60,60,0.000
10443,11,16.80,6,0.200
10443,28,36.40,12,0.000
10444,17,31.20,10,0.000
10444,26,24.90,15,0.000
10444,35,14.40,8,0.000
10444,41,7.70,30,0.000
10445,39,14.40,6,0.000
10445,54,5.90,15,0.000
10446,19,7.30,12,0.100
10446,24,3.60,20,0.100
10446,31,10.00,3,0.100
10446,52,5.60,15,0.100
10447,19,7.30,40,0.000
10447,65,16.80,35,0.000
10447,71,17.20,2,0.000
10448,26,24.90,6,0.000
10448,40,14.70,20,0.000
10449,10,24.80,14,0.000
10449,52,5.60,20,0.000
10449,62,39.40,35,0.000
10450,10,24.80,20,0.200
10450,54,5.90,6,0.200
10451,55,19.20,120,0.100
10451,64,26.60,35,0.100
10451,65,16.80,28,0.100
10451,77,10.40,55,0.100
10452,28,36.40,15,0.000
10452,44,15.50,100,0.050
10453,48,10.20,15,0.100
10453,70,12.00,25,0.100
10454,16,13.90,20,0.200
10454,33,2.00,20,0.200
10454,46,9.60,10,0.200
10455,39,14.40,20,0.000
10455,53,26.20,50,0.000
10455,61,22.80,25,0.000
10455,71,17.20,30,0.000
10456,21,8.00,40,0.150
10456,49,16.00,21,0.150
10457,59,44.00,36,0.000
10458,26,24.90,30,0.000
10458,28,36.40,30,0.000
10458,43,36.80,20,0.000
10458,56,30.40,15,0.000
10458,71,17.20,50,0.000
10459,7,24.00,16,0.050
10459,46,9.60,20,0.050
10459,72,27.80,40,0.000
10460,68,10.00,21,0.250
10460,75,6.20,4,0.250
10461,21,8.00,40,0.250
10461,30,20.70,28,0.250
10461,55,19.20,60,0.250
10462,13,4.80,1,0.000
10462,23,7.20,21,0.000
10463,19,7.30,21,0.000
10463,42,11.20,50,0.000
10464,4,17.60,16,0.200
10464,43,36.80,3,0.000
10464,56,30.40,30,0.200
10464,60,27.20,20,0.000
10465,24,3.60,25,0.000
10465,29,99.00,18,0.100
10465,40,14.70,20,0.000
10465,45,7.60,30,0.100
10465,50,13.00,25,0.000
10466,11,16.80,10,0.000
10466,46,9.60,5,0.000
10467,24,3.60,28,0.000
10467,25,11.20,12,0.000
10468,30,20.70,8,0.000
10468,43,36.80,15,0.000
10469,2,15.20,40,0.150
10469,16,13.90,35,0.150
10469,44,15.50,2,0.150
10470,18,50.00,30,0.000
10470,23,7.20,15,0.000
10470,64,26.60,8,0.000
10471,7,24.00,30,0.000
10471,56,30.40,20,0.000
10472,24,3.60,80,0.050
10472,51,42.40,18,0.000
10473,33,2.00,12,0.000
10473,71,17.20,12,0.000
10474,14,18.60,12,0.000
10474,28,36.40,18,0.000
10474,40,14.70,21,0.000
10474,75,6.20,10,0.000
10475,31,10.00,35,0.150
10475,66,13.60,60,0.150
10475,76,14.40,42,0.150
10476,55,19.20,2,0.050
10476,70,12.00,12,0.000
10477,1,14.40,15,0.000
10477,21,8.00,21,0.250
10477,39,14.40,20,0.250
10478,10,24.80,20,0.050
10479,38,210.80,30,0.000
10479,53,26.20,28,0.000
10479,59,44.00,60,0.000
10479,64,26.60,30,0.000
10480,47,7.60,30,0.000
10480,59,44.00,12,0.000
10481,49,16.00,24,0.000
10481,60,27.20,40,0.000
10482,40,14.70,10,0.000
10483,34,11.20,35,0.050
10483,77,10.40,30,0.050
10484,21,8.00,14,0.000
10484,40,14.70,10,0.000
10484,51,42.40,3,0.000
10485,2,15.20,20,0.100
10485,3,8.00,20,0.100
10485,55,19.20,30,0.100
10485,70,12.00,60,0.100
10486,11,16.80,5,0.000
10486,51,42.40,25,0.000
10486,74,8.00,16,0.000
10487,19,7.30,5,0.000
10487,26,24.90,30,0.000
10487,54,5.90,24,0.250
10488,59,44.00,30,0.000
10488,73,12.00,20,0.200
10489,11,16.80,15,0.250
10489,16,13.90,18,0.000
10490,59,44.00,60,0.000
10490,68,10.00,30,0.000
10490,75,6.20,36,0.000
10491,44,15.50,15,0.150
10491,77,10.40,7,0.150
10492,25,11.20,60,0.050
10492,42,11.20,20,0.050
10493,65,16.80,15,0.100
10493,66,13.60,10,0.100
10493,69,28.80,10,0.100
10494,56,30.40,30,0.000
10495,23,7.20,10,0.000
10495,41,7.70,20,0.000
10495,77,10.40,5,0.000
10496,31,10.00,20,0.050
10497,56,30.40,14,0.000
10497,72,27.80,25,0.000
10497,77,10.40,25,0.000
10498,24,4.50,14,0.000
10498,40,18.40,5,0.000
10498,42,14.00,30,0.000
10499,28,45.60,20,0.000
10499,49,20.00,25,0.000
10500,15,15.50,12,0.050
10500,28,45.60,8,0.050
10501,54,7.45,20,0.000
10502,45,9.50,21,0.000
10502,53,32.80,6,0.000
10502,67,14.00,30,0.000
10503,14,23.25,70,0.000
10503,65,21.05,20,0.000
10504,2,19.00,12,0.000
10504,21,10.00,12,0.000
10504,53,32.80,10,0.000
10504,61,28.50,25,0.000
10505,62,49.30,3,0.000
10506,25,14.00,18,0.100
10506,70,15.00,14,0.100
10507,43,46.00,15,0.150
10507,48,12.75,15,0.150
10508,13,6.00,10,0.000
10508,39,18.00,10,0.000
10509,28,45.60,3,0.000
10510,29,123.79,36,0.000
10510,75,7.75,36,0.100
10511,4,22.00,50,0.150
10511,7,30.00,50,0.150
10511,8,40.00,10,0.150
10512,24,4.50,10,0.150
10512,46,12.00,9,0.150
10512,47,9.50,6,0.150
10512,60,34.00,12,0.150
10513,21,10.00,40,0.200
10513,32,32.00,50,0.200
10513,61,28.50,15,0.200
10514,20,81.00,39,0.000
10514,28,45.60,35,0.000
10514,56,38.00,70,0.000
10514,65,21.05,39,0.000
10514,75,7.75,50,0.000
10515,9,97.00,16,0.150
10515,16,17.45,50,0.000
10515,27,43.90,120,0.000
10515,33,2.50,16,0.150
10515,60,34.00,84,0.150
10516,18,62.50,25,0.100
10516,41,9.65,80,0.100
10516,42,14.00,20,0.000
10517,52,7.00,6,0.000
10517,59,55.00,4,0.000
10517,70,15.00,6,0.000
10518,24,4.50,5,0.000
10518,38,263.50,15,0.000
10518,44,19.45,9,0.000
10519,10,31.00,16,0.050
10519,56,38.00,40,0.000
10519,60,34.00,10,0.050
10520,24,4.50,8,0.000
10520,53,32.80,5,0.000
10521,35,18.00,3,0.000
10521,41,9.65,10,0.000
10521,68,12.50,6,0.000
10522,1,18.00,40,0.200
10522,8,40.00,24,0.000
10522,30,25.89,20,0.200
10522,40,18.40,25,0.200
10523,17,39.00,25,0.100
10523,20,81.00,15,0.100
10523,37,26.00,18,0.100
10523,41,9.65,6,0.100
10524,10,31.00,2,0.000
10524,30,25.89,10,0.000
10524,43,46.00,60,0.000
10524,54,7.45,15,0.000
10525,36,19.00,30,0.000
10525,40,18.40,15,0.100
10526,1,18.00,8,0.150
10526,13,6.00,10,0.000
10526,56,38.00,30,0.150
10527,4,22.00,50,0.100
10527,36,19.00,30,0.100
10528,11,21.00,3,0.000
10528,33,2.50,8,0.200
10528,72,34.80,9,0.000
10529,55,24.00,14,0.000
10529,68,12.50,20,0.000
10529,69,36.00,10,0.000
10530,17,39.00,40,0.000
10530,43,46.00,25,0.000
10530,61,28.50,20,0.000
10530,76,18.00,50,0.000
10531,59,55.00,2,0.000
10532,30,25.89,15,0.000
10532,66,17.00,24,0.000
10533,4,22.00,50,0.050
10533,72,34.80,24,0.000
10533,73,15.00,24,0.050
10534,30,25.89,10,0.000
10534,40,18.40,10,0.200
10534,54,7.45,10,0.200
10535,11,21.00,50,0.100
10535,40,18.40,10,0.100
10535,57,19.50,5,0.100
10535,59,55.00,15,0.100
10536,12,38.00,15,0.250
10536,31,12.50,20,0.000
10536,33,2.50,30,0.000
10536,60,34.00,35,0.250
10537,31,12.50,30,0.000
10537,51,53.00,6,0.000
10537,58,13.25,20,0.000
10537,72,34.80,21,0.000
10537,73,15.00,9,0.000
10538,70,15.00,7,0.000
10538,72,34.80,1,0.000
10539,13,6.00,8,0.000
10539,21,10.00,15,0.000
10539,33,2.50,15,0.000
10539,49,20.00,6,0.000
10540,3,10.00,60,0.000
10540,26,31.23,40,0.000
10540,38,263.50,30,0.000
10540,68,12.50,35,0.000
10541,24,4.50,35,0.100
10541,38,263.50,4,0.100
10541,65,21.05,36,0.100
10541,71,21.50,9,0.100
10542,11,21.00,15,0.050
10542,54,7.45,24,0.050
10543,12,38.00,30,0.150
10543,23,9.00,70,0.150
10544,28,45.60,7,0.000
10544,67,14.00,7,0.000
10545,11,21.00,10,0.000
10546,7,30.00,10,0.000
10546,35,18.00,30,0.000
10546,62,49.30,40,0.000
10547,32,32.00,24,0.150
10547,36,19.00,60,0.000
10548,34,14.00,10,0.250
10548,41,9.65,14,0.000
10549,31,12.50,55,0.150
10549,45,9.50,100,0.150
10549,51,53.00,48,0.150
10550,17,39.00,8,0.100
10550,19,9.20,10,0.000
10550,21,10.00,6,0.100
10550,61,28.50,10,0.100
10551,16,17.45,40,0.150
10551,35,18.00,20,0.150
10551,44,19.45,40,0.000
10552,69,36.00,18,0.000
10552,75,7.75,30,0.000
10553,11,21.00,15,0.000
10553,16,17.45,14,0.000
10553,22,21.00,24,0.000
10553,31,12.50,30,0.000
10553,35,18.00,6,0.000
10554,16,17.45,30,0.050
10554,23,9.00,20,0.050
10554,62,49.30,20,0.050
10554,77,13.00,10,0.050
10555,14,23.25,30,0.200
10555,19,9.20,35,0.200
10555,24,4.50,18,0.200
10555,51,53.00,20,0.200
10555,56,38.00,40,0.200
10556,72,34.80,24,0.000
10557,64,33.25,30,0.000
10557,75,7.75,20,0.000
10558,47,9.50,25,0.000
10558,51,53.00,20,0.000
10558,52,7.00,30,0.000
10558,53,32.80,18,0.000
10558,73,15.00,3,0.000
10559,41,9.65,12,0.050
10559,55,24.00,18,0.050
10560,30,25.89,20,0.000
10560,62,49.30,15,0.250
10561,44,19.45,10,0.000
10561,51,53.00,50,0.000
10562,33,2.50,20,0.100
10562,62,49.30,10,0.100
10563,36,19.00,25,0.000
10563,52,7.00,70,0.000
10564,17,39.00,16,0.050
10564,31,12.50,6,0.050
10564,55,24.00,25,0.050
10565,24,4.50,25,0.100
10565,64,33.25,18,0.100
10566,11,21.00,35,0.150
10566,18,62.50,18,0.150
10566,76,18.00,10,0.000
10567,31,12.50,60,0.200
10567,51,53.00,3,0.000
10567,59,55.00,40,0.200
10568,10,31.00,5,0.000
10569,31,12.50,35,0.200
10569,76,18.00,30,0.000
10570,11,21.00,15,0.050
10570,56,38.00,60,0.050
10571,14,23.25,11,0.150
10571,42,14.00,28,0.150
10572,16,17.45,12,0.100
10572,32,32.00,10,0.100
10572,40,18.40,50,0.000
10572,75,7.75,15,0.100
10573,17,39.00,18,0.000
10573,34,14.00,40,0.000
10573,53,32.80,25,0.000
10574,33,2.50,14,0.000
10574,40,18.40,2,0.000
10574,62,49.30,10,0.000
10574,64,33.25,6,0.000
10575,59,55.00,12,0.000
10575,63,43.90,6,0.000
10575,72,34.80,30,0.000
10575,76,18.00,10,0.000
10576,1,18.00,10,0.000
10576,31,12.50,20,0.000
10576,44,19.45,21,0.000
10577,39,18.00,10,0.000
10577,75,7.75,20,0.000
10577,77,13.00,18,0.000
10578,35,18.00,20,0.000
10578,57,19.50,6,0.000
10579,15,15.50,10,0.000
10579,75,7.75,21,0.000
10580,14,23.25,15,0.050
10580,41,9.65,9,0.050
10580,65,21.05,30,0.050
10581,75,7.75,50,0.200
10582,57,19.50,4,0.000
10582,76,18.00,14,0.000
10583,29,123.79,10,0.000
10583,60,34.00,24,0.150
10583,69,36.00,10,0.150
10584,31,12.50,50,0.050
10585,47,9.50,15,0.000
10586,52,7.00,4,0.150
10587,26,31.23,6,0.000
10587,35,18.00,20,0.000
10587,77,13.00,20,0.000
10588,18,62.50,40,0.200
10588,42,14.00,100,0.200
10589,35,18.00,4,0.000
10590,1,18.00,20,0.000
10590,77,13.00,60,0.050
10591,3,10.00,14,0.000
10591,7,30.00,10,0.000
10591,54,7.45,50,0.000
10592,15,15.50,25,0.050
10592,26,31.23,5,0.050
10593,20,81.00,21,0.200
10593,69,36.00,20,0.200
10593,76,18.00,4,0.200
10594,52,7.00,24,0.000
10594,58,13.25,30,0.000
10595,35,18.00,30,0.250
10595,61,28.50,120,0.250
10595,69,36.00,65,0.250
10596,56,38.00,5,0.200
10596,63,43.90,24,0.200
10596,75,7.75,30,0.200
10597,24,4.50,35,0.200
10597,57,19.50,20,0.000
10597,65,21.05,12,0.200
10598,27,43.90,50,0.000
10598,71,21.50,9,0.000
